table,index,size_bytes,size,table_writes_since_2026-08-30,live_rows,definition
products,idx_products_embedding,10133504,9896 kB,891,1674,CREATE INDEX idx_products_embedding ON public.products USING ivfflat (embedding vector_cosine_ops) WITH (lists='100')
mechanic_job_timeline,idx_mechanic_job_timeline_created_at,311296,304 kB,294,294,CREATE INDEX idx_mechanic_job_timeline_created_at ON public.mechanic_job_timeline USING btree (created_at DESC)
journal_entries,idx_journal_entries_entry_number,188416,184 kB,679,2515,CREATE INDEX idx_journal_entries_entry_number ON public.journal_entries USING btree (entry_number)
journal_lines,idx_journal_lines_journal_entry,188416,184 kB,682,6393,CREATE INDEX idx_journal_lines_journal_entry ON public.journal_lines USING btree (entry_id)
inventory_accounting_operations,idx_inventory_operations_tenant_created,155648,152 kB,572,1662,"CREATE INDEX idx_inventory_operations_tenant_created ON public.inventory_accounting_operations USING btree (tenant_id, created_at DESC)"
product_tax_classification_events,idx_product_tax_classification_events_product_time,147456,144 kB,4,4,"CREATE INDEX idx_product_tax_classification_events_product_time ON public.product_tax_classification_events USING btree (tenant_id, product_id, occurred_at DESC)"
inventory_accounting_operations,idx_inventory_operations_actor,139264,136 kB,572,1662,"CREATE INDEX idx_inventory_operations_actor ON public.inventory_accounting_operations USING btree (actor_id, created_at DESC)"
bike_observations,idx_bike_observations_bike,122880,120 kB,457,993,"CREATE INDEX idx_bike_observations_bike ON public.bike_observations USING btree (bike_id, observed_at DESC, created_at DESC)"
accounting_source_identity_backfill_rows,idx_accounting_source_identity_rows_run,106496,104 kB,0,0,"CREATE INDEX idx_accounting_source_identity_rows_run ON public.accounting_source_identity_backfill_rows USING btree (run_id, created_at, id)"
smart_purchase_list,idx_smart_purchase_list_priority,106496,104 kB,96,31,CREATE INDEX idx_smart_purchase_list_priority ON public.smart_purchase_list USING btree (priority DESC)
workshop_line_identity_backfill_rows,idx_workshop_line_identity_backfill_rows_run,106496,104 kB,0,0,"CREATE INDEX idx_workshop_line_identity_backfill_rows_run ON public.workshop_line_identity_backfill_rows USING btree (run_id, created_at, id)"
journal_entries,idx_journal_entries_type,73728,72 kB,679,2515,CREATE INDEX idx_journal_entries_type ON public.journal_entries USING btree (type)
journal_entries,idx_journal_entries_entry_date,65536,64 kB,679,2515,CREATE INDEX idx_journal_entries_entry_date ON public.journal_entries USING btree (entry_date)
smart_purchase_list,idx_smart_purchase_list_added_date,65536,64 kB,96,31,CREATE INDEX idx_smart_purchase_list_added_date ON public.smart_purchase_list USING btree (added_date DESC)
mechanic_job_status_transition_events,idx_mechanic_job_status_transition_events_job,57344,56 kB,79,309,"CREATE INDEX idx_mechanic_job_status_transition_events_job ON public.mechanic_job_status_transition_events USING btree (tenant_id, job_id, occurred_at DESC, id DESC)"
mechanic_jobs,idx_mechanic_jobs_job_number,57344,56 kB,1200,501,CREATE INDEX idx_mechanic_jobs_job_number ON public.mechanic_jobs USING btree (job_number)
app_files,idx_app_files_metadata,49152,48 kB,4,4,CREATE INDEX idx_app_files_metadata ON public.app_files USING gin (metadata)
