sku,name,error
2000000172309,"Llanta Weinmann 26"" Tm19 36h Plata","{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
NO_SKU,Eje de Motor Set Up Bikes,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
NNV163,Rueda Sólida Scooter Xiaomi M365 8 1/2 x 2,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
2000000314853,Luz De Seguridad Usb Radical Mountain Dc-115,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
NNV181,Volante Shimano FC-TY301  6 - 7 - 8 Velocidades 42T,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
NNV122,Pegamento Parche de Cámara,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
S60082,volante fc-ty301 ty for rear 6/7/8-vel. 170mm 48T,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
PO02633001073,EJE BLOQUEO TRASERO 7/8 9V. COMPATIBLE / GENERICO,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
13463,LLANTA 26 x 1.75 * BUFFALO *ALUMINIO - SILVER (36H),"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
6927116103552,Camara Bicicleta Ruta 700 X 25 a 38C V. Francesa Arisun,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0038,ROTOR SHIMANO AE 160MM,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
701758417727,Juego de luces delantera + trasera AE,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
15,TEE MTB KALIN NEGRA 22.2 X 25.4 150MM SIN GUÍA,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
6927116100094,Neumatico Ruta Bicicleta Aro 700 X 32C Metro Runner Arisun,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
PO02771019200,MAZA TRASERA 36H DISCO NEGRA COMPATIBLE / GENERICO ALTERNATIVO 2022 ECONOM.,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0042,Espaciador Genérico 3mm Negro,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
PO02409001058,AGUJA BLOQUEO ALUMINIO (3 PCS) COMPATIBLE / GENERICO,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
PO02574017009,MANILLA FRENO MTB ALHONGA 3 DEDOS ALUMINIO HJ-4133PDV BLACK/SILVER,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
NO_SKU,Llanta Aro 20 36H PadroBikes,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0051,"MANILLA CAMBIO SHIMANO SL-M315, IZQ. 3-SPEED RAPIDFIRE PLUS","{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
6927116119034,Cámara Chaoyang 26x1.95/2.125 A/V 48MM,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
4703,Eje de Motor Sellado Ozono 122.5mm - 68mm,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
S57037,CAMBIO SHIMANO 6/7V. RD-TX35 C/PATA (BOLSA) ARDTY300B,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
18474,CAMARA BEST BUTILO 27.5 X 1.95 / 2.125 VAL/FRANCESA 48MM WANDA,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0081,Risk Sticker protector para cadena de bicicleta,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0089,Corona DECKAS 104BCD Monoplato 34T Negra,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0093,Volante IXF Integrado Black 170Mm + Motor BSA + Corona 34T,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
PO02755001765,MANILLA FRENO MTB V-BRAKE 3 DEDOS SAIGUAN,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0114,Cassette Shimano Cs-Hg200 8V 12-32T AE,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
S60067,cambiador shimano fd-tz510-ds6 3 (friction) x7/6 31.8mm T/ARRIBA,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0136,Tee Aluminio Wake MTB 31.8MM x 45MM Negro,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0144,Caliper Freno Trasero Mecánico Bucklos AE,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0145,Caliper Freno Delantero Mecánico Bucklos AE,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0151,Luz Delantera T6 LED AE 1000 Lumen,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
DF0002,Cubre Sillín DF,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
6927116100124,CAMARA 26 X 1.50/2.20 V/FRANCESA 48mm EN CAJA,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0154,Sillín Gel RiderAce Prostático Negro,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0155,Disco freno Shimano Deore RT56 160MM,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0159,Luz trasera AE Led Recargable,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
AE0162,Pastillas Freno Disco Hidráulico Metálica ZTTO Par DS03S,"{'message': 'division by zero', 'code': '22012', 'hint': None, 'details': None}"
