item_id,sku,name,status,type,reason
3479156000000076113,2000000172309,"Llanta Weinmann 26"" Tm19 36h Plata",Active,goods,NOT_IMPORTED
3479156000000079031,EMPTY,Funda Cambio Genérica 1 M,Active,goods,NO_SKU
3479156000000081245,EMPTY,Juego de Tuercas Laterales Motor + Rodamientos,Active,goods,NO_SKU
3479156000000081326,EMPTY,Eje de Motor Set Up Bikes,Active,goods,NO_SKU
3479156000000097001,EMPTY,Grasa Park Tool Polylube 1000 (113grs),Active,goods,NO_SKU
3479156000000111028,EMPTY,Juego V-Brake Completo Genérico Betta Bikes,Active,goods,NO_SKU
3479156000000130084,EMPTY,Cambio Cinta de Manillar,Active,service,NO_SKU
3479156000000182001,EMPTY,Llanta Buffalo Aro 26 36 Rayos,Active,goods,NO_SKU
3479156000000200010,EMPTY,"Kit Guía Cableado Interno Risk 1,5Mt",Active,goods,NO_SKU
3479156000000199010,EMPTY,Llave Para Lockring Motor 15-16mm,Active,goods,NO_SKU
3479156000000213001,EMPTY,Manilla Freno Aluminio Logan Par,Active,goods,NO_SKU
3479156000000217001,EMPTY,Cambio Trasero Shimano Tourney 6-7 Speed,Inactive,goods,NO_SKU
3479156000000230170,EMPTY,Cassette Shimano 7V CS-HG200-7 12/32T,Active,goods,NO_SKU
3479156000000237090,EMPTY,Eje Delantero con Bloqueo Betta (108mm x 9mm),Inactive,goods,NO_SKU
3479156000000285010,EMPTY,Cambio Trasero No Sincronizado Genérico,Active,goods,NO_SKU
3479156000000290003,EMPTY,Mantención Maza,Active,service,NO_SKU
3479156000000286010,EMPTY,Mantención De Motor,Active,service,NO_SKU
3479156000000287022,EMPTY,Mantención De Dirección,Active,service,NO_SKU
3479156000000291001,EMPTY,Mantención De Sistema De Transmisión,Active,service,NO_SKU
3479156000000295001,EMPTY,Desviador Delantero Shimano Tourney 34.9 3V,Active,goods,NO_SKU
3479156000000295163,EMPTY,Maza Trasera 36/Disco/Sellado/FreeWheel,Active,goods,NO_SKU
3479156000000301001,EMPTY,Cambio de Maza,Active,service,NO_SKU
3479156000000315001,EMPTY,Luz USB Delantera Trip 400 LM,Inactive,goods,NO_SKU
3479156000000315010,EMPTY,Luz USB Trasera Trip 20 LM,Inactive,goods,NO_SKU
3479156000000315028,EMPTY,Collerín Bloqueo Frank 35mm,Active,goods,NO_SKU
3479156000000325286,NNV163,Rueda Sólida Scooter Xiaomi M365 8 1/2 x 2,Active,goods,NOT_IMPORTED
3479156000000355001,EMPTY,Centrado de Rueda BettaBikes,Inactive,goods,NO_SKU
3479156000000355598,2000000314853,Luz De Seguridad Usb Radical Mountain Dc-115,Active,goods,NOT_IMPORTED
