status	suggested_purchase_treatment	suggested_action	confidence	score	sku	name	category_name	supplier_name	cost	price	track_stock	current_purchase_treatment	inventory_qty	stock_quantity	reason
already_workshop_consumable	workshop_consumable	already_workshop_consumable	high	9	136	SET 100pcs CABLE CAMBIO LARGO 2.10 MTS. MTB COMPATIBLE / GENERICO MINIMO DE VENTA SET 100pcs	Fundas y piolas	Andes Industrial	203.0	1000.0	False	workshop_consumable	0	0	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material; already marked workshop_consumable
candidate	workshop_consumable	review_and_convert	high	12	5013863030874	DESENGRASANTE WELDTITE JETBLAST 500 ML	Desengrasantes	Andes Life	6550.0	14990.0	True	inventory	0	0	high-signal category: Desengrasantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	12	8436577100423	Desengrasante BIO Blub 1 Litro	Desengrasantes	TeknoBike	8970.0	17990.0	True	inventory	0	0	high-signal category: Desengrasantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	12	RL0006	Desengrasante RaceLub 1LT	Desengrasantes		3950.0	10000.0	True	inventory	2	2	high-signal category: Desengrasantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	19227	CABLE CAMBIO LARGO 2.10 MTS. MTB COMPATIBLE / GENERICO (100PCS) 2022 ECONOM.	Fundas y piolas		108.0	600.0	True	inventory	192	192	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	19309	CABLE CAMBIO MTB SOLO 1.90 MTS LARGO min.100pcs	Fundas y piolas	Andes Industrial	150.0	500.0	True	inventory	99	99	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	19234	CABLE FRENO MTB  BARRIL SOLO 2,00 MTS ACERO COMPATIBLE / GENERICO (100PCS) ALTERNATIVO 2022 ECONOM.	Fundas y piolas	Andes Industrial	140.0	600.0	True	inventory	387	387	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert	high	9	12893	CABLE FUNDA CAMBIO 4mm/15mts. TEFLON NEGRA INDEX TAIWAN ROL	Fundas y piolas	RBX	7624.0	15200.0	True	inventory	0	0	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	31501	FUNDA 2 P NEGRO (ROLLO 50 MTS) COMPATIBLE / GENERICO	Fundas y piolas	Andes Industrial	284.2	1000.0	True	inventory	97	97	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	17020	FUNDA CAMBIO 4MM ALHONGA 30 MTS. GRIS MOD. CC-EY01	Fundas y piolas	Andes Industrial	633.0	1600.0	True	inventory	178	178	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	20288	Funda de Cambio 10TEN con Teflón en caja 30 Mts.	Fundas y piolas	Comercial Ciclo	8990.0	22000.0	True	inventory	1	1	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	17171	Funda de Cambio Con Teflon Negra. Rollo 20Mts. Taiwán	Fundas y piolas	Comercial Ciclo	5990.0	16000.0	True	inventory	1	1	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	445105	ROLLO 50MTS FUNDA DE CAMBIO 4MM NEGRA	Fundas y piolas	Derman	15900.0	40000.0	True	inventory	2	2	medium-signal category: Fundas y piolas; bulk workshop format; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	19293	SET 100pcs CABLE CAMBIO LARGO 2.10 MTS. MTB COMP.ALT.GEN. GW 2022 MINIMO DE VENTA SET 100pcs	Fundas y piolas	Andes Industrial	158.1	700.0	True	inventory	299	299	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	PO02776019305	SET 100pcs CABLE FRENO MTB BARRIL SOLO 2,00 MTS ACERO COMP.ALT.GEN. MINIMO DE VENTA SET 100pcs	Fundas y piolas	Andes Industrial	20348.0	100000.0	True	inventory	101	101	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	PO02776019291	SET 100pcs CABLE FRENO RUTA PERA SOLO 1,75 MT ACERO COMP.ALT.GEN. MINIMO DE VENTA SET 100pcs	Fundas y piolas	Andes Industrial	183.95	1000.0	True	inventory	98	98	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	1985	TERMINAL CABLE DE FRENO (500 PZS) COMPATIBLE / GENERICO	Fundas y piolas	Andes Industrial	9.96	50.0	True	inventory	492	492	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	T210	"Tope "" Terminal De Cable "" 500 Pcs Taiwan"	Fundas y piolas	MKR	20.0	50.0	True	inventory	463	463	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	9	T211	Tope De Funda De Cable Freno 300 Pcs Taiwan	Fundas y piolas	MKR	42.0	100.0	True	inventory	248	248	medium-signal category: Fundas y piolas; bulk pack; cable/housing service material
