SKU,Name,Stock (Zoho),Price,Cost,Category,Type
2000000305660,Asiento Radical Mountain Paseo N708A Con Resorte Negro,3.0,12000,4890,Asiento,goods
6927116112370,CAMARA 26 X 1.50/2.20 V/AUTO 48MM BUTYL	ORNATE,2.0,5000,1690,Cámaras,goods
6938112671129,CAMARA 26 X 1.95/2.125 V/FRANCESA 48MM (NO ES EXACTAMENTE LA MISMA: 1.50X2.2 ORNATE),4.0,5000,1961,Cámaras,goods
10895,CAMPANILLA CLASICA PB003,1.0,3000,816,Campanillas,goods
7290001283677,Candado OnGuard Llave U-Lock NS 115X230mm Negro,2.0,27000,10870,Candados,goods
7290001283615,Candado OnGuard Llave U-Lock NS LS 115X292mm Azul,1.0,27000,10870,Candados,goods
00000000,Diagnóstico,0,0,0,,goods
7887,Dot 5.1 Fluid 60ml ezmtb,1.0,6000,2270,Grasa/Aceites/Soluciones/Limpiadores,goods
20288,Funda de Cambio 10TEN con Teflón en caja 30 Mts.,1.0,22000,8990,Fundas y piolas,goods
17171,Funda de Cambio Con Teflon Negra. Rollo 20Mts. Taiwán,1.0,16000,5990,Fundas y piolas,goods
2000000480152,"Horquilla Suntour 26"" XCR 32 RLR Coil 120mm 9x100mm Negro 2022",1.0,180000,117585,Horquillas,goods
17159,"Llanta Mavic 319, 29x32H Con Ojetillos.",1.0,30000,14990,Llantas,goods
2000000419053,Manilla De Freno Aluminio KN Negr/Plat 3-4F,0.5,4000,1100,Manillas,goods
2895,Manilla de Freno Ozono Aluminio 341AE,3.0,8000,3270,Manillas,goods
2000000178066,Manillas SunRace Cambio M10 3x5/6/7V Par,1.0,12000,5100,Shifters,goods
7351,MAXXIS ALAMBRE 700x25c DETONATOR,2.0,28000,9970,Neumáticos,goods
17196,MAZA (JGO) ALUMINIO QI Y SU (36H) PURPLE QS-403 CON BLOQ.,0.0,15000,5080,Maza,goods
2699,Maza Trasera Freestyle sellada 14mm 9T 36H Red,1.0,40000,18750,Mazas,goods
23427,"Maza Trasera NECO MTB, Aluminio, 36H, c/Bloqueo, Black",1.0,24000,10990,Maza,goods
4213,Neumático 29 x 2.20 – KENDA – KADRE K1027 60TPI BK,2.0,22000,9950,Neumáticos,goods
23472,Neumatico RIDEXC COMP 26X2.10,2.0,10000,3995,Neumáticos,goods
8859746615496,"Neumático Vuelta USA 26x2.125"" CB-570 PAN",2.0,14000,5784,Neumáticos,goods
9274,PUÑOS OZONO NEGROS 132mm 22mm,4.0,4000,970,Puños,goods
S59764,"VOLANTE SHIMANO FC-TY501 6/7/8-SPEED, 170MM, 42X34X24T W/O CG, W/CRANK FIXING BOLT, BLACK, BULK AFCT EN CAJA",2.0,35000,21180,Volante,goods
